label,nb_universites
SAINT-LÔ,7
PORT-SAINT-LOUIS-DU-RHÔNE,7
SAINT-CYR-SUR-LOIRE,7
WATTIGNIES,7
FLEURY-MÉROGIS,7
ARQUES,7
SARLAT-LA-CANÉDA,7
SAINT-JEAN-DE-LUZ,7
MOYEUVRE-GRANDE,7
CARMAUX,7
TONNEINS,7
SAINT-LAURENT,7
DARNÉTAL,7
LE PASSAGE,7
SABLÉ-SUR-SARTHE,7
CHAMBRAY-LÈS-TOURS,7
PARAY-LE-MONIAL,7
BOUCAU,7
VILLEPREUX,7
LA FERTÉ-SAINT-AUBIN,7
DIGOIN,7
AMNÉVILLE,7
GRAND-COURONNE,7
LA CRAU,7
SAINT-HIPPOLYTE,7
FOSSES,7
PAPARA,7
OISSEL,7
JARNY,7
MIGNÉ-AUXANCES,7
BEAUMONT,7
PRADES,7
BEAUGENCY,7
FONTENAY-LE-COMTE,7
SAINT-DENIS-EN-VAL,7
CHÂTEAURENARD,7
ROCHE-LA-MOLIÈRE,7
SAINT-AUBIN-LÈS-ELBEUF,7
SAINT-PAUL-TROIS-CHÂTEAUX,7
CHANTILLY,7
CABRIÈS,7
SAINT-JULIEN-EN-GENEVOIS,7
ERDRE-EN-ANJOU,7
MIOS,7
SAVERNE,7
SARAN,7
MERVILLE,7
VIEUX-CONDÉ,7
LIVRON-SUR-DRÔME,7
VIROFLAY,7
THIZY-LES-BOURGS,7
UVEA,7
VILLETANEUSE,7
MENNECY,7
AURAY,7
MEXIMIEUX,7
HERSIN-COUPIGNY,7
LODÈVE,7
NOGENT-LE-ROTROU,7
VARENNES-VAUZELLES,7
LOURDES,7
CHAMONIX-MONT-BLANC,7
MAXÉVILLE,7
WITTELSHEIM,7
LA RICAMARIE,7
LÉSIGNY,7
ROMBAS,7
PETIT-CAUX,7
ONNAING,7
COSNE-COURS-SUR-LOIRE,7
BEAULIEU,7
MONTIGNY-EN-GOHELLE,7
ANDERNOS-LES-BAINS,7
RIORGES,7
TOURNAN-EN-BRIE,7
DINAN,7
TRETS,7
APT,7
SISTERON,7
GUÉRANDE,7
PETITE-ILE,7
LE MALESHERBOIS,7
PLOUFRAGAN,7
LES PONTS-DE-CÉ,7
BISCHWILLER,7
PLÉRIN,7
GRENAY,7
THOUARS,7
SERRIS,7
CUERS,7
LOUVECIENNES,7
BONNEVILLE,7
SAINT-ESPRIT,7
MABLY,7
PARIS  1ER ARRONDISSEMENT,7
GROS-MORNE,7
INZINZAC-LOCHRIST,7
UZÈS,7
SAINT-JUNIEN,7
LE BOURGET,7
PONT-DU-CHÂTEAU,7
OLLIOULES,7
BELLEVILLE-EN-BEAUJOLAIS,7
BALMA,7
LA ROCHE-SUR-FORON,7
TALANT,7
AIME-LA-PLAGNE,7
MARGUERITTES,7
VINDRY-SUR-TURDINE,7
AUTERIVE,7
REVEL,7
GOUVIEUX,7
VALLONS-DE-L'ERDRE,7
CHARVIEU-CHAVAGNEUX,7
HAUTMONT,7
CHASSIEU,7
CAPPELLE-LA-GRANDE,7
DAMMARTIN-EN-GOËLE,7
BELLEVIGNE-EN-LAYON,7
NANGIS,7
KANI-KÉLI,7
KINGERSHEIM,7
VOREPPE,7
LA BAULE-ESCOUBLAC,7
PLOEMEUR,7
BRIGNAIS,7
IRIGNY,7
GOLBEY,7
SAINT-GILLES-CROIX-DE-VIE,7
PORTET-SUR-GARONNE,7
L'ISLE-JOURDAIN,7
PONT-SAINT-ESPRIT,7
PRIVAS,7
AUBENAS,7
BOURG-DE-PÉAGE,7
COULOMMIERS,7
TAHAA,7
SASSENAGE,7
MAZAMET,7
